# Reference vectors for the sky-orientation model
#
# Provenance
#   Computed with IAU SOFA, release 2023-10-11, ANSI C:
#     https://www.iausofa.org/2023-10-11c
#     https://www.iausofa.org/s/sofa_c-20231011tar.gz
#     sha256 d9c10833cae8b4d9361a0ffda31ec361fd1262362025bec4d4e51a880150ace2
#   Generated by scripts/reference-vectors.c in this repository, which
#   calls the unmodified library. Re-run it to reproduce this file.
#
# Statement required by the SOFA licence
#   This file and the program that produced it use routines and
#   computations derived by the JUranometria authors from software
#   provided by SOFA under licence. They do not themselves constitute
#   software provided by, or endorsed by, SOFA. No SOFA source is
#   vendored into this repository, and there is no dependency on SOFA at run time
#   or at build time: these are numbers, checked into a test fixture.
#
# What the columns are
#   The rotation from the true equator and equinox of date into
#   ICRS/J2000 - pmat76 then nut80/numat, transposed - applied to a
#   direction given in the frame of date. UTC is passed where SOFA
#   expects TT and UT1, which is what the model under test does, so
#   the comparison isolates the rotation from the time scales.
#
# utc ra_of_date dec_of_date ra_j2000 dec_j2000 gmst_deg
2026-06-21T08:24:00Z 83.822083 -5.391111 83.494843647 -5.409610467 35.551535739
2026-06-21T08:24:00Z 10.684708 41.268750 10.321754945 41.122616100 35.551535739
2026-06-21T08:24:00Z 266.404996 -28.936172 265.982183554 -28.924196439 35.551535739
2026-06-21T08:24:00Z 90.000000 66.560000 89.317037454 66.556976478 35.551535739
2026-06-21T08:24:00Z 270.000000 -66.560000 269.317037454 -66.556976478 35.551535739
2026-12-21T20:03:00Z 0.000000 0.000000 359.651924950 -0.151229453 31.153454447
2026-12-21T20:03:00Z 0.000000 90.000000 0.532852466 89.848752670 31.153454447
2026-12-21T20:03:00Z 0.000000 -90.000000 180.532852466 -89.848752670 31.153454447
2026-12-21T20:03:00Z 180.000000 0.000000 179.651924950 0.151229453 31.153454447
2026-12-21T20:03:00Z 359.900000 -0.100000 359.551920082 -0.251225165 31.153454447
2026-12-21T20:03:00Z 83.822083 -5.391111 83.488201005 -5.409678996 31.153454447
2026-12-21T20:03:00Z 10.684708 41.268750 10.314120669 41.119706324 31.153454447
2026-12-21T20:03:00Z 266.404996 -28.936172 265.973586573 -28.924258953 31.153454447
2026-12-21T20:03:00Z 90.000000 66.560000 89.303166095 66.557214386 31.153454447
2026-12-21T20:03:00Z 270.000000 -66.560000 269.303166095 -66.557214386 31.153454447
2050-07-04T03:00:00Z 0.000000 0.000000 359.349356329 -0.282648422 327.328065442
2050-07-04T03:00:00Z 0.000000 90.000000 359.296053034 89.717351456 327.328065442
2050-07-04T03:00:00Z 0.000000 -90.000000 179.296053034 -89.717351456 327.328065442
2050-07-04T03:00:00Z 180.000000 0.000000 179.349356329 0.282648422 327.328065442
2050-07-04T03:00:00Z 359.900000 -0.100000 359.249354710 -0.382648450 327.328065442
2050-07-04T03:00:00Z 83.822083 -5.391111 83.198035516 -5.421201953 327.328065442
2050-07-04T03:00:00Z 10.684708 41.268750 9.988171760 40.991029689 327.328065442
2050-07-04T03:00:00Z 266.404996 -28.936172 265.598457108 -28.918327561 327.328065442
2050-07-04T03:00:00Z 90.000000 66.560000 88.697465990 66.558654996 327.328065442
2050-07-04T03:00:00Z 270.000000 -66.560000 268.697465990 -66.558654996 327.328065442
2100-01-01T00:00:00Z 0.000000 0.000000 358.717519787 -0.556943094 100.738236197
2100-01-01T00:00:00Z 0.000000 90.000000 359.603386298 89.442990335 100.738236197
2100-01-01T00:00:00Z 0.000000 -90.000000 179.603386298 -89.442990335 100.738236197
2100-01-01T00:00:00Z 180.000000 0.000000 178.717519787 0.556943094 100.738236197
2100-01-01T00:00:00Z 359.900000 -0.100000 358.617498336 -0.656927214 100.738236197
2100-01-01T00:00:00Z 83.822083 -5.391111 82.592146943 -5.459355677 100.738236197
2100-01-01T00:00:00Z 10.684708 41.268750 9.320220876 40.719798428 100.738236197
2100-01-01T00:00:00Z 266.404996 -28.936172 264.815901355 -28.891168928 100.738236197
2100-01-01T00:00:00Z 90.000000 66.560000 87.433725353 66.545148526 100.738236197
2100-01-01T00:00:00Z 270.000000 -66.560000 267.433725353 -66.545148526 100.738236197
